Modelo,Conjunto,Precision,Recall,F1,F2,AUC_ROC,AUC_PR,Limiar
Dummy,validação,0.0314,1.0,0.0609,0.1396,0.5,0.0314,0.0572
Dummy,teste,0.0329,1.0,0.0637,0.1453,0.5,0.0329,0.0572
Heuristica,validação,0.1033,0.4447,0.1677,0.2677,0.666,0.1016,1.0
Heuristica,teste,0.1466,0.5903,0.2349,0.3677,0.7501,0.2447,1.0
RegressaoLogistica,validação,0.0854,0.5105,0.1463,0.2558,0.7824,0.1134,0.4788
RegressaoLogistica,teste,0.1073,0.6242,0.1831,0.3179,0.8475,0.2793,0.4788
RandomForest,validação,0.145,0.5666,0.2309,0.3583,0.8272,0.2079,0.2957
RandomForest,teste,0.1612,0.6643,0.2594,0.409,0.868,0.3197,0.2957
LightGBM,validação,0.16,0.5062,0.2432,0.3533,0.8222,0.204,0.0622
LightGBM,teste,0.1869,0.5948,0.2844,0.4141,0.8695,0.2955,0.0622
"Weibull AFT (sobrevivência, risco em 4 h)",teste,,,,,0.8408,0.2662,
IsolationForest (não supervisionado),teste,,,,,0.5601,0.1736,
