Nome_Operador_Anon,decisoes,taxa_pct
OP_058,858,15.268
OP_216,2408,12.583
OP_179,1224,11.52
OP_027,1032,11.24
OP_256,917,11.232
OP_239,922,11.063
OP_071,1769,10.91
OP_185,935,10.267
OP_336,831,10.108
OP_053,1014,9.961
OP_149,1381,9.92
OP_213,850,9.882
OP_187,1133,9.797
OP_278,3563,9.683
OP_137,2137,9.265
OP_365,1388,9.078
OP_022,907,8.931
OP_055,1962,8.818
OP_151,922,8.677
OP_223,1213,8.656
OP_366,1674,8.542
OP_290,998,8.517
OP_267,1239,8.394
OP_030,1172,8.362
OP_286,1132,8.304
OP_253,831,8.303
OP_362,1032,8.236
OP_389,2504,8.187
OP_200,1130,8.142
OP_212,2796,8.011
OP_380,1000,7.9
OP_257,2083,7.777
OP_322,801,7.74
OP_241,1012,7.708
OP_078,1552,7.668
OP_288,800,7.5
OP_232,2088,7.423
OP_029,1959,7.351
OP_047,1159,7.334
OP_359,1007,7.249
OP_332,966,7.246
OP_120,808,7.178
OP_062,1079,7.136
OP_076,2268,6.966
OP_275,6534,6.964
OP_098,2375,6.947
OP_301,2518,6.791
OP_314,1149,6.789
OP_086,1118,6.708
OP_166,2680,6.567
OP_013,1511,6.552
OP_003,888,6.532
OP_324,1026,6.53
OP_109,2062,6.45
OP_343,2893,6.395
OP_056,1379,6.381
OP_130,1152,6.25
OP_310,1158,6.218
OP_392,2628,6.202
OP_327,1466,6.139
OP_194,1722,6.098
OP_192,2685,5.959
OP_141,1683,5.942
OP_033,2259,5.888
OP_024,2239,5.717
OP_307,1057,5.582
OP_261,2349,5.577
OP_236,1563,5.566
OP_268,1849,5.516
OP_049,1698,5.359
OP_196,2980,5.336
OP_087,2068,5.319
OP_242,1605,5.296
OP_048,1662,5.054
OP_374,970,5.052
OP_372,840,5.0
OP_010,2317,4.92
OP_383,1411,4.748
OP_217,928,4.741
OP_319,827,4.716
OP_382,826,4.6
OP_140,1025,4.585
OP_342,2571,4.317
OP_245,928,4.31
OP_344,860,4.302
OP_169,1105,4.253
OP_190,1568,4.018
OP_023,1230,3.902
OP_165,824,3.641
OP_333,863,3.592
OP_170,984,3.557
OP_234,1938,3.509
OP_323,1256,3.503
OP_157,1932,3.416
OP_384,830,3.373
OP_330,839,2.98
OP_218,1398,2.933
OP_135,932,2.79
OP_326,867,2.768
OP_160,962,2.703
OP_168,807,2.602
OP_271,925,2.595
OP_243,1160,2.414
OP_015,958,2.296
OP_044,1196,2.09
OP_065,1261,1.983
OP_298,1014,1.874
OP_051,2060,1.699
OP_128,1283,1.403
OP_011,1507,1.327
OP_222,985,1.32
OP_293,1270,1.26
OP_283,1056,1.231
OP_080,961,0.832
OP_082,1193,0.754
OP_296,1363,0.66
OP_042,2187,0.64
OP_124,2048,0.635
OP_123,1817,0.605
OP_088,1135,0.264
OP_006,1217,0.247
OP_008,810,0.123
OP_074,1226,0.0
OP_373,1084,0.0
OP_376,1956,0.0
OP_DESCONHECIDO,59628,0.0
